language,domain,nlp_tasks,value
Basque,Fisheries,argument mining,0
Basque,Fisheries,anaphora resolution,0
Basque,Animal and dairy science,optical character recognition,0
Basque,Animal and dairy science,speech recognition,0
Basque,Animal and dairy science,speech segmentation,0
Basque,Animal and dairy science,text-to-speech,0
Basque,Animal and dairy science,word segmentation,0
Basque,Animal and dairy science,lemmatization,0
Basque,Animal and dairy science,morphological segmentation,0
Basque,Animal and dairy science,part-of-speech tagging,0
Basque,Animal and dairy science,stemming,0
Basque,Animal and dairy science,grammar induction,0
Basque,Animal and dairy science,sentence breaking ,0
Basque,Animal and dairy science,parsing,0
Basque,Animal and dairy science,lexical semantics,0
Basque,Animal and dairy science,distributional semantics,0
Basque,Animal and dairy science,named entity recognition,0
Basque,Animal and dairy science,sentiment analysis,0
Basque,Animal and dairy science,terminology extraction,0
Basque,Animal and dairy science,word-sense disambiguation,0
Basque,Animal and dairy science,entity linking,0
Basque,Animal and dairy science,multiword expressions,0
Basque,Animal and dairy science,relationship extraction,0
Basque,Animal and dairy science,semantic parsing,0
Basque,Animal and dairy science,semantic role labelling,0
Basque,Animal and dairy science,coreference resolution,0
Basque,Animal and dairy science,discourse analysis,0
Basque,Animal and dairy science,implicit semantic role labelling,0
Basque,Animal and dairy science,recognizing textual entailment,0
Basque,Animal and dairy science,topic segmentation,0
Basque,Animal and dairy science,argument mining,0
Basque,Animal and dairy science,anaphora resolution,0
Basque,Veterenary,optical character recognition,0
Basque,Veterenary,speech recognition,0
Basque,Veterenary,speech segmentation,0
Basque,Veterenary,text-to-speech,0
Basque,Veterenary,word segmentation,0
Basque,Veterenary,lemmatization,0
Basque,Veterenary,morphological segmentation,0
Basque,Veterenary,part-of-speech tagging,0
Basque,Veterenary,stemming,0
Basque,Veterenary,grammar induction,0
Basque,Veterenary,sentence breaking ,0
Basque,Veterenary,parsing,0
Basque,Veterenary,lexical semantics,0
Basque,Veterenary,distributional semantics,0
Basque,Veterenary,named entity recognition,0
Basque,Veterenary,sentiment analysis,0
Basque,Veterenary,terminology extraction,0
Basque,Veterenary,word-sense disambiguation,0
Basque,Veterenary,entity linking,0
Basque,Veterenary,multiword expressions,0
Basque,Veterenary,relationship extraction,0
Basque,Veterenary,semantic parsing,0
Basque,Veterenary,semantic role labelling,0
Basque,Veterenary,coreference resolution,0
Basque,Veterenary,discourse analysis,0
Basque,Veterenary,implicit semantic role labelling,0
Basque,Veterenary,recognizing textual entailment,0
Basque,Veterenary,topic segmentation,0
